탁구초급,이도흥,23,Winter,5.0,"강사님 착하고 재미있음
사람들도 다들 좋아서 힐링하면서 쳤다"
탁구초급,권준혜,23,Fall,5.0,"출석만 잘하면 에쁠 주심 
횟수만 간신히 채우고 자세는 많이 부족했는데,, 초급이어도 고수 많아서 걱정했지만 학점 잘 주셔서 무한한 감사,,"
탁구초급,권준혜,23,Fall,5.0,"명실상부 관악 초급탁구 일타강사
조원도 많이 만나보고 탁구 실력꺼지 일취월장 가능할뿐더러
성적까지 잘 주셔버리니 또 듣고싶다는 생각뿐입니다"
탁구초급,권준혜,23,Fall,5.0,탁구 재밌게 잘 가르쳐주시고 사람들이랑도 친해질 수 있어서 좋아요!
탁구초급,권준혜,23,Fall,5.0,탁구 겁나 못 하는데 무난히 S 받았습니다 피드백도 많이 주시고 감사합니당
탁구초급,권준혜,23,Fall,5.0,"공도 제대로 못 치던 저를 이 정도까지 탁구 칠 수 있게 성장시켜주신 교수님 감사합니다ㅠㅠㅠㅠ
교수님도 너무 따숩고 좋으시고, 한 학기동안 교수님과, 학우들과 재밌게 치다 보면, 공도 똑바로 맞추지 못하는 초보도 기본은 하는 사람으로 성장할 수 있는 좋은 시간이 될 거예요. 저도 잘 치는 편이 아니었지만 성적도 잘 주시니 너무 걱정하지 마시고 권준혜 교수님 탁구 들으세요!"
탁구초급,권준혜,23,Spring,5.0,출석만 잘 하시면 성적도 잘 받아갈 수 있는 것 같습니다. 주기적으로 조를 바꿔가며 다양한 사람들과 시합할 수 있어서 좋았습니다.
탁구초급,권준혜,23,Spring,5.0,탁구 규칙+경기 영상 감상문 쓰는 간단한 중간 과제랑 실기 기말 있는데 걍 출석 잘하고 열심히 하면 기말 잘 못봐도 에쁠 주십니당 조도 계속 바꿔서 다양한 분들이랑 칠 수 있어요 넘 즐거웠음 최고!!
탁구초급,권준혜,23,Spring,5.0,"성적도 시험 웬만큼 보면 에이쁠 주십니다
권준혜 교수님 짱 !!
한 학기 동안 힐링 수업 잘 들었습니다"
탁구초급,권준혜,23,Spring,5.0,"로드 거의 없고, 출석 잘하고 성의를 보이면 쉽게 A+ 받아갈 수 있습니다. 열심히 가르쳐 주셔서 수업도 좋았습니다."
탁구초급,권준혜,23,Spring,5.0,"탁구 들으려고 하시면, 꼭 이 강의로 들으세요!!

중간 과제 1번(탁구 경기 하이라이트 시청 후 짧은 감상과 탁구 규칙에 대한 3장짜리 리포트 작성) + 기말고사로 구성되어 있는 데, 중간 과제도 정말 하나도 부담되지 않는 수준입니다.

수업 방식은 2주마다 3-4명으로 구성된 조를 나누고, 조별로 돌아가면서 교수님과 1대1로 포핸드, 백쇼트, 백핸드 커트, 포핸드 커트 등등을 배웁니다. 교수님께서 일대일 수준에 맞게 다 알려주시기 때문에 정말 사소한 것 하나하나까지 배울 수 있었네요

정말 다른 강의평에서처럼 교수님께서 카리스마도 있으시고, 동시에 정말 유쾌하셔서 수업 분위기도 너무 좋았습니다~

출석만 꼬박꼬박 잘하고, 수업 참여만 잘하면 성적은 정말 잘 주십니다"
탁구초급,권준혜,23,Spring,5.0,"탁구 이 수업 들으세요.
선수출신 선생님이 하시는 탁구 수업이 몇 개 없는데 이 수업이 그 중 하나입니다. 선생님이 선수 출신이셔서 수업이 전문적이고, 개인 맞춤으로 가르쳐주시는데 도움이 많이 됩니다.
선생님이 카리스마 있으신데 유쾌하셔서 수업도 재밌어요.
출석 잘 하시고 수업시간에 배운 대로 시험 보시면 성적 잘 받으실 수 있을 거예요.
이 강의 추천합니다!"
탁구초급,권준혜,22,Fall,5.0,"탁구 태어나서 처음 쳐봤는데 생각보다 되게 재밌게 수업 들었습니다!
엄청 친절하게 잘 알려주시고 생각보다 많은걸 배워가는 수업이에요
조원들도 잘 만나서 되게 재밌었어욤"
탁구초급,권준혜,22,Fall,5.0,저는 탁구를 해 본적이 없는데 이 수업에서 많은 걸 배워서 매우 만족합니다
탁구초급,권준혜,22,Fall,5.0,기말시험 망했는데 에이쁠 주셨어요… 그저 빛이십니다 출석이 중요한듯 해요
탁구초급,권준혜,22,Fall,5.0,열심히 하고자 했으나 기말 시험을 망쳤음에도 패스를 주셔서 너무 감사했음. 수업도 굉장히 깔끔하게 진행됨. 주로 조별 1대1 수업과 그거 하는 동안 다른 조는 개별 플레이 시간을 가지는 것으로 매번 수업이 진행됨. 탁구 많이 치고 싶다 하는 분께 추천드려요 과제도 간단한 에세이 내는거 하나뿐이어서 부담 없습니다.
탁구초급,권준혜,22,Fall,5.0,"바쁜 학기 중 잠시 쉬면서 재밌게 탁구 칠 수 있었던 시간이었습니다.
이번 학기는 조도 2주마다 계속 섞였는데 다양한 분들과 쳐보면서 친해지기도 해서 더 좋았습니다.
저는 원래 탁구를 너무 좋아해서 자세를 제대로 잡고 싶었는데, 교수님께서 전체적으로 정말 알차게 가르쳐주셨고 최대한 개인에게 알맞게 가르쳐주셨습니다.
(물론 교수님은 한 분이신데 학생 인원은 많다 보니 엄청 자세한 지도를 받기는 수업 한계상 어렵습니다.) 
서로 도와드리면서 치다 보니 학기말에는 다들 어느 정도 랠리를 잘 하시는 것 같아요!
평가는 탁구 경기 및 규칙 정리하는 간단한 보고서 하나와 기말 평가로 이루어집니다. 공 넘기는 것과 상관없이 수업 중에 열심히만 같이 탁구 치시면 충분합니다!
성적도 A+! + 언젠가 커피 얻어먹으러 가겠습니다 :)"
탁구초급,권준혜,22,Fall,5.0,"보고서 한번에 실기 시험 한번입니다
저는 평소에 탁구를 좋아하고 그럭저럭 치는 편이라 재밌게 들었습니다. 조원들이랑 친해지는 기회도 되어 좋았구요. 근데 교수님께서 잘 알려주시고 잘 치는 분들이랑 같이 치다보면 잘 늘어서, 한 번 쳐보고 싶었는데 아직 한번도 안 쳐본 분들이라도 금방 배우실 수 있을 거에요!
출석만 잘하면 성적도 잘 주시는 것 같습니다
에이쁠 잘 받아가요~!"
탁구초급,권준혜,22,Fall,5.0,"체육교양 탁구하시면 여름에도 시원한데서 할 수 있고 겨울에도 상대적으로 따뜻한 곳에서 칠 수 있어요. 수업은 주차별로 여러 스킬들 배우고 중간은 대체보고서 2장짜리, 기말은 실습이고 수업만 잘 참여하면 에이쁠 가져갈수있습니다"
