수학연습 1,이호주,24,Spring,1.0,출튀 한번 했는데 기습시험으로 걸려서 바로 f확정됨. 걸리지 말던가 그냥 결석하셈
수학연습 1,이계선,24,Spring,4.0,조교님 귀여우십니다. 다만 퀴즈 난이도 조절은 잘 못하시는 듯 합니다.
수학연습 1,김현정,23,Spring,3.0,"생각보다 꿀강 아님 수연 성적 잘 준다는 건 옛말입니다,,"
수학연습 1,변동호,23,Spring,5.0,학생주도형 수업인줄 모르고 수강신청을 해서 다른 분반은 발표 한 번 하는데 여기서는 세 번 했습니다… 막 크게 부담스러운 정도는 아니에요 아무래도 수연이 학점을 뿌려주는 과목이니… 퀴즈 한 번 백지로 냈는데 A+ 받아갑니다 조교님을 잘 만나서 퀴즈 문제도 다른 분반에 비해서는 쉬웠던 것 같아요 그리고 수업은 한시간 전후로 끝납니다!
수학연습 1,변동호,23,Spring,5.0,"수연은 모두 조교님이 수업하시는 거라 교수님은 아예 상관 없습니다! 다만, 학생주도연습반인지 조교주도연습반인지는 꼭 확인하시길 바랍니다... 그래도 좋은 조교님 만나서  A+ 받아갑니다 :)"
수학연습 1,변동호,23,Spring,5.0,수연은 분반 상관 없지만... 학생 중심 연습 분반이라고 발표 3번씩 시키는 분반이 있습니다 (다른 분반은 한번이라고 알고 있어요) 이것만 신경쓰셔서 신청하시면 되겠습니다!
수학연습 1,천상민,23,Spring,5.0,"조교님이 출석을 안봐서 너무 좋았고 조교님 목소리
너무 중독성있음...
약간 데스노트  엘 같음 ...ㅎ"
수학연습 1,천상민,23,Spring,5.0,교수님은 수업에 관여 안하시고 조교님이 수업하셔서 딱히 교수님은 중요하지 않은거 같습니다. 제가 수강할 때는 조교님이 천사셔서 한학기동안 정말 재밌게 수업들은 것 같아요
수학연습 1,김형준,23,Summer,5.0,"조교님 행정처리 깔끔하시고, 수업 나쁘지 않게 하십니다.
퀴즈 4번 보고 출석으로 점수를 주시는데 퀴즈도 쉬운 편이었고, 보너스 문제도 어렵지 않았습니다.
시간이 부족하면 좀더 주시기도 합니다."
수학연습 1,이훈희,23,Spring,5.0,"모든 수연이 다 그렇겠지만 출석 유니미 퀴즈 발표 이렇게 4개만 잘하시면 되고, 조교님이 성적 최대한 잘 주시려고 하는게 눈에 보입니다. 퀴즈 3개 합해서 61점으로 A+ 받았습니다."
수학연습 1,이훈희,23,Spring,5.0,출석 유니미 발표 참여만 하면 퀴즈 못봐도 성적 잘주심. 낮은 퀴즈 성적에도 덕분에 A+챙겨갑니다
