수묵화의 기초,백승현,22,Summer,5.0,집에서 해야하는 로드는 없고 s/u로 전환 가능해 즐겁게 수강했습니다 편하게 학점 채우시려면 추첨
수묵화의 기초,최은혜,22,Fall,4.0,s/u로 들어서 학점을 잘 주는지는 모르겠지만 su로 듣기에는 좋았음. 부담없이 들을수 있었고 새롭게 수묵화를 배울수 있어 좋았지만 재미있어하지 않는다면 세시간 듣기에는 매우 지루할듯. 이것저것 과제 내고 피피티 만드는게 있었는데 어렵지는 않았음. 공연 전시 보는것도 마침 학교에 수묵화 전시가 있어서 관람하고 감상문 작성함. 시험은 중간 기말 딱히 있다기 보드 과제제출로 대신했단걸로 기억.
수묵화의 기초,최은혜,22,Fall,2.0,"학점 잘받고 싶으면 듣지마라
순식간에 C 목격가능"
수묵화의 기초,최은혜,22,Fall,5.0,기대 이상으로 유익한 강의였습니다. 선생님 너무 좋으셨고 여러모로 많이 배워갔어요!
수묵화의 기초,이광수,20,Spring,4.0,"A~F 평가 방식도 가능하고 S/U로 변경도 가능한 수업
큰 부담 없이 들을 수 있었던 것 같습니다
저는 평가 방식을 S/U로 변경해서 학점을 잘 주시는 편인지 아닌지는 잘 모르겠습니다"
수묵화의 기초,김민주,23,Spring,5.0,"한 학기동안 정말 행복했던 수업이었어요
교수님께서 굉장히 친절하시고, 그냥 수업 시간동안 자유롭게 그림을 그렸습니다
저는 에쎈유 전환해서 잘 모르겠지만 학점을 최대한 잘 주려고 하시는 것 같긴 했어요"
수묵화의 기초,김민주,22,Fall,5.0,수묵화의 기초를 알 수 있는 좋은 수업입니당 매번 편안한 마음으로 갔던거같아용 ~~ 교수님도 좋으세여
수묵화의 기초,김민주,22,Fall,5.0,"진짜진짜진짜 편안하고 널널한 분위기입니다 ㅠㅠ
교수님 너무너무 좋으시고
항상 자유로운 스타일로 그림 그릴 수 있어요
서울대 최고의 힐링 수업이라고 생각하시면 됩니다…"
수묵화의 기초,김민주,22,Fall,5.0,너무 친절하시고 처음부터 하나씩 가르쳐주셔서 쉽게 따라 그릴 수 있습니다. 수업시간마다 즐길 수 있었고 시험없이 발표만 하면 돼서 부담 없었습니다.
수묵화의 기초,김민주,22,Spring,4.0,저는 에쎈유로 전환해서 부담없이 편하게 들었어요! 수업시간에는 열심히 그림 그리면 되고 과제는 중간 기말 발표랑 기말 과제 하나 있어요!
수묵화의 기초,김민주,22,Fall,5.0,중간 기말 발표가 있고 수업은 매우 편안한 분위기에서 진행. 친절하게 잘 알려주심!
수묵화의 기초,김민주,22,Spring,5.0,"시험은 없고 대신 중간기말 발표는 있어요! 
그냥 무난하게 들을 수 있는 교양!"
수묵화의 기초,김민주,21,Fall,5.0,"그림에 자신이 없어도 정말 재밌고 쉽게 배울 수 있어요!
교수님이 정말정말 귀여우시고 배려 많이 해주십니다!!
나중에는 교수님께서 흑연이랑 수채화물감도 빌려주셔서 예쁜 그림 많이 완성해가요!
평소 수업시간에 열심히 참여하고 발표 성실히 준비하면 학점도 잘 주시는 거 같아요!! 다들 꼭 수신 성공하세요 ㅠㅠ 교수님 최고✨✨"
수묵화의 기초,김민주,21,Spring,5.0,"아 너무 좋았습니다..최고
저는 에센유 전환안하고 에이쁠 받았어요!!
그림을 잘 그리면 좋은 점수가 나오는 구조라기 보다는 중간 기말에 시험 대신 발표를 하는데 그때 잘하시면 충분히 좋은 점수 받으실 수 있어요 교수님도 너무 친절하시고 최고^^"
수묵화의 기초,김민주,21,Spring,5.0,"1학기의 힐링수업이었습니다.
교수님이 정말 정말 정말 좋으시고 귀여우십니다...
중간발표와 기말발표가 있는데, 저는 그림을 잘 그리는편이 아닌데도 좋은 학점을 받았습니다. 노력한 흔적만 있으면 성적은 잘 주시는 것 같습니다."
수묵화의 기초,김민주,21,Spring,5.0,"수묵화가 이렇게 재밌을 줄은... 교수님 진짜 좋은 분이시고 로드는 중간 발표, 기말 발표, 수묵비평 이렇게 3개가 끝임. 에센유로 전환 가능해서 맘편히 전환해버리고 매주 실기실 가서 그림 그렸는데 너무너무 좋았음... 그림을 별로 못 그리거나 그려본 적이 거의 없어도 도전하기 좋은 것 같음"
수묵화의 기초,김민주,21,Spring,5.0,미술 좋아하시면 재밌게 들을 수 있어요! 교수님도 너무 좋으시고 수업도 재밌습니당
수묵화의 기초,김민주,18,Fall,5.0,"과제는 전시회 한번가서 감상문 쓰는거 하나 있고 부담 안됩니다. 출석은 매일 부르고 성적은 수업시간동안 그린 그림으로 주십니다. 다른 그림 보고 그리기, 직접 찍은 사진 보고 그리기, 창작 부분에서 하나 이상 작품을 내야하고 마지막시간에 포트폴리오로 발표합니다. 수업시간에 자유롭게 나갔다와도 괜찮습니다. 저는 그림을 못그리는 편은 아니지만 저보다 잘그리는 사람이 많았는데도 에이쁠받았습니다."
수묵화의 기초,김지훈,19,Fall,5.0,"일단 선생님이 너무 좋으셔서 선생님께 인간적으로 배울 게 많아요
한 명 한 명 진심으로 대하시고 이해심이 바다 많큼 깊고 넓으십니다
그림 그리면서 차분해지고 힐링되는 기분이라 학기 중 가장 재밌게 들었어요
중간에 현대미술 특강도 해주시는데 재밌기도 하고 교양이 쌓이는 기분이었어요 
빡빡한 시간표에 있으면 참 좋을 쉬어가는 강의입니다
에센유로 들어거 학점은 잘 모르겠지만 에센유로 변경하는 사람이 꽤나 많아서 잘 받을수도..?"
수묵화의 기초,김지훈,18,Spring,5.0,"선생님이 우선 너무 친절하고 다정하십니다
편안한 분위기이고 선생님께서 한명한명 자리로 찾아가서 직접 그리시면서 지도해주십니다
그림 실력이 부족해도 평소에 열심히 하는 모습 보여주고 시험때도 최선을 다해 그리는 모습 보여주면 점수 대부분 잘 주시는것 같습니다"
수묵화의 기초,서기환,22,Spring,5.0,S/U하고 편하게 들었습니다~! 생각보다 그림 잘 그리시는 분들 정말정말 많아서 전 성적으로 안 한거 잘 했다고 생각했어요..! 한 학기에 미술교양 하나 정도 에쎈유인 것도 나쁘지 않은 것 같아요😊
수묵화의 기초,서기환,21,Fall,5.0,수묵화의 매력을 알았습니다. 초반에는 그림을 좀 못그려서 스트레스였지만 교수님께서 다 존중해주시고 진심으로 대해주셔요
수묵화의 기초,서기환,21,Fall,5.0,SU로 전환해서 굉장히 편하게 들었습니다. 출석이랑 과제 1번 정도는 안 내도 S 주신다고 합니다 :)
수묵화의 기초,서기환,20,Spring,5.0,"애초에 그림을 진짜 못그리는 사람이라 에쎈유로 완전편하게 들음.
밑에 성적잘안준다고 써놓은 평 좀 있는데, 교수님이 수도없이 말함. 나중에 실망하지말고 에쎈유 신청하면 다 편하다고. 학생을 위하는 말이라고 직감해서 바로바꿈.
본인이 여기서 굳이 에이를 노려보겠다면 유의해야 할 점이 두개가 있음.
첫 번째는 그림고수가 ㅈㄴ게 많다는거임. 무슨 동양화과생이 그렸나, 정물화 장인이 그렸나, 웹툰작가가 그렸나 싶을 정도로 말도안되는 퀄리티를 내는 분들이 계심(참고로 코로나라 거의 매주 냈음)
물론 그와중에 나는 발로그린듯한 그림 냄. zoom으로 다 공유돼서 창피했지만 그래도 교수님 안좋은소리 거의 안하심.

두번째는 교수님의 심미안이 말도 안되게 차원이 높다는 것임.
내가봤을때는 완전 잘 그린 그림이라는 느낌이 팍 오는데, 교수님은 '이건 그냥 애초에 그림을 잘 그리는 애가 별 생각없이 휙 그린 것 같은데?'하고 보는 그림이 있고,
난 별 느낌 없는데 교수님은 '여기 이런 방식의 구도, 의도하신건가요?' 라던가, 그림 자체의 역동성, 변화, 질감 등을 정말 다 고려해서 그림을 봐주심. 그냥 귀에걸면 귀걸이식의 감상이 아님. 
나도 비천한 실력이지만 교수님께 예의상 몇시간에 걸쳐 메시지를 그림에 좀 담아내려고 그렸는데(초등학생이 십분만에 그린것처럼 보이는 그림임), 그림 보면서 나한테 질문하시는거 듣고
이렇게 내 의도를 알아보신다고? 하면서 놀랐음.

아무튼 성적 꿀만 빨려고 신청하면 그게 오히려 이 수업에서 얻어가는 것을 제약하게 됨. 교수님과 수묵화를 매개로 소통하며 힐링하는 수업임. 에쎈유 추천."
수묵화의 기초,서기환,19,Spring,1.0,하..듣지 마세요 열심히 했는데 학점 잘 안줍니다...
수묵화의 기초,서기환,18,Spring,3.0,"난... 잘 치세요... 난 하나 때문에.. 아... 아앍
그리고 감상문 레포트도 열심히 작성하세요 아무 생각 없이 했다가는 A 구경도 못합니다 따흐흑"
수묵화의 기초,송윤주,16,Spring,5.0,음 일단 과제가 없고 로드는 없어요 그냥 실기 수업이고 매수업마다 열심히만 해도 한학기동안 실력이 늘겁니다. 저는 좀 못하는편이었는데 쌤이 많이 늘었다고 비쁠주셨거든요 근데 전 만족해요 왜냐면 이 강의가 미대생 수강불가 강의인데도 불구하고 너무너무 잘하고 필력 좋으신 붓질에 센스있는 분들이 많더라구요..ㄷㄷ 그리고 중간에 전시화도 한번 다같이 갔었어요 근데 뭐 관람기 이런거 안쓰고 진짜 수업때 배웠던거와 연관되게 교수님께서 설명해주시고 너무좋았어요 그냥 짱이에요  그대신 출석이 매 우 중요하다는거!! 그럼이만
