물리학실험,PARK YUN,23,Fall,5.0,"1. 강의

메뉴얼을 따라 실험을 해서 데이터를 모아서 랩노트를 쓰는 것을 
8주 동안 하는 강의. 8번만 실험을 하기 때문에 중간중간 휴강도 있고 
S/U라 랩노트를 대충 휘갈겨도 부담없는 좋은 강의.
실험을 빨리 끝내면 강의시간을 채우지 않아도 집에 갈 수 있다.


2. 과제

랩노트 제출 8번, 보고서 제출 2번이지만 
내년부터는 랩노트 제출만 요구하는 듯.

랩노트 (10점 만점)
1: 8.25
2: 8
3: 10
4: 8.5
5: 9.5
6: 9
7: 10
8: ?

보고서 (100점 만점)
3: 91
8: 89


3. 시험

없음


4. 성적

S"
물리학실험,김지훈,21,Spring,3.0,그냥 가벼운 마음으로 수강하세요. 로드도 많고 학점도 받기 힘듭니다.
물리학실험,강동민,23,Spring,5.0,"조교님이 친절하셨다
snu라서 꿀이다
하지만 수업중에 종종 때려치고싶어지는 막막함이 몰려와서 힘들다. 매뉴얼이 이해도 안되고 실험 내용이랑도 안맞음.."
물리학실험,강동민,23,Spring,5.0,조교님 사랑합니다... 학생들의 편의를 최대한 봐주시려하시고 보고서 채점후에는 항상 피드백을 주셔서 실력 향상에도 도움이 됩니다.
물리학실험,강동민,22,Fall,5.0,실험 과목 중에서는 가장 의미 있는 활동을 하는 기분입니다. S/U로 바뀐 만큼 보고서 부담이 줄어서 좋습니다.
물리학실험,차국린,22,Fall,5.0,"조교 바이 조교지만, 해당 학기의 조교님께서는 실험 과정에 대한 의문이 있을 때 질문을 드리면 친절하게 하나씩 설명해주셨습니다. 운동에 대한 분석이 가능한 프로그램의 사용 방법을 익힐 수 있어 도움이 되었습니다."
물리학실험,정현석,20,Spring,4.0,"싸강이라 직접 실험을 안해서 편하긴 했지만, 매주 있는 보고서가 좀 많이 힘들었음. 그래도 물리 노베인데 매뉴얼이랑 검색 조금 하면 따라가기 벅찬 내용은 전혀 아니었음"
물리학실험,정현석,19,Spring,3.0,"걍 족보 받으셈

실험은 다 족보빨이야~~

.
.
.
.
."
물리학실험,장준호,18,Fall,5.0,조교 바이 조교지만 제 조교님은 친절하고 귀엽고 좋았습니다. 관악 3대 명강(?) 화실 물실 생실을 다 들어본 결과 물실이 원탑이라고 생각하는게 일단 레포트 분량이 5페이지 이내라 화실 생실처럼 모르는거 다 찾아가면서 쓸 필요가 없음. 매뉴얼이 좀 별로긴 하지만 그거 적당히 참고하고 실험 내용 넣고 오차원인 몇개쓰면 5페이지 완성!
물리학실험,장준호,18,Fall,3.0,물실 화실 생실 전부 들었는데 개인적으로는 그 중 물실>=생실>>화실이었습니다. 물실은 열심히만 하면 에이대는 쉽게 챙겨갈 수 있어서 생각보다 편했어요. 무엇보다 수기 제출이 아니라는 점에서 이미 화실보단 확실히 나은 듯 합니다. 단학기 물리학 진도랑도 순서가 나름 잘 맞아서 퀴즈 공부하기도 편했어요.
물리학실험,이원종,23,Spring,5.0,"에쎈유로 바뀐 뒤로 너무 좋아진듯
고학번들 지금이라면 ㄱㄱ"
물리학실험,이원종,23,Spring,5.0,그냥 ….. 하면 다 s나와요 ㅋㅋㅋㅋㅋㅋㅋ 부담 진짜 하나도 안됩니다
