물리학실험 2,박홍규,23,Fall,5.0,보고서가 2개가 되고 나서 정말 편해진 것 같습니다
물리학실험 2,김은종,23,Fall,5.0,"김지원 조교님은 신이에요.

지금도 개꿀과목으로 느껴지는데

물실이 이제 보고서도 없다고???"
물리학실험 2,장소연,23,Fall,5.0,"굳굳 보고서도 없어지니 빨리 듣고 치웁시다
뻘짓만 안하면 패스 나와요~"
물리학실험 2,이탁희,22,Fall,4.0,조교님이 실험에 너무 관여 안하시고 그냥 방치하심. 물실 치고는 안빡세서 넘 좋았지만 개인적으로 조교님이 별로였음.
물리학실험 2,이탁희,22,Fall,5.0,보고서 4개 물실2는 혁명이다. 진짜 추진한 분들 감사드립니다.
물리학실험 2,류제경,22,Fall,4.0,엄청나게 편해졌다. 이거 S 못 받으면 공부 던진 거니 반성하세요.
물리학실험 2,류제경,22,Fall,5.0,실험이 보고서 4개에 S/U면 혜자라고 볼 수 있음
물리학실험 2,류제경,22,Fall,4.0,"물실이 S/U에 보고서 4개로 줄어들면서 정말 A~F 시절보다 훨씬 편해졌습니다.
저는 개인적으로는 생실보다 덜 힘들었어요. (생실은 디스커션에 각종 조사를 더 해야하는데, 물실은 데이터 바탕으로 논리적인 오차 근거만 판단하면 되어서)
조교님에 따라 세부적인 요구사항은 조금 달라질 수 있을 것 같아 조바조도 어느 정도 있을 것 같아요!"
물리학실험 2,류제경,22,Fall,5.0,"보고서 8개에서 4개.
상대평가 s/u에서 절대평가 s/u.
4학점의 로드에서 2학점의 로드.

지금도 1학점의 로드가 아닌 것은 확실하나, 
기존의 물실을 생각한다면 5점을 주지 않을 이유가 없다."
물리학실험 2,이승섭,22,Fall,5.0,"S/U 전환 후에 매우 널널해졌습니다
조교 별로 차이는 있겠지만 퀴즈는 보기 전에 공부해서 작성하고, 보고서는 결과값 정리하고 그래프 대충 넣고 오차 원인만 잘 쓰면 U는 안 나올 겁니다"
물리학실험 2,이승섭,22,Fall,5.0,"실험과목 중 최고...goat
당신의 헌신과 노력에 감사합니다"
물리학실험 2,이승섭,22,Fall,5.0,보고서 4개로 바뀌고 나서 개꿀 과목이 되었답니다.
물리학실험 2,이승섭,22,Fall,5.0,"S/U로 변한 물실1, 2를 모두 올 한 해에 들었네요.

1학기는 아직 변환 중이라서 여전히 힘들었습니다.

이에 비하면 진짜 이제부터는 개꿀입니다 ㅎㅎ 물론 조바조가 있기는 하지만 보고서 대충 써도 중간정도 나오고 보고서를 한 학기에 4번만 쓰면 되는 천국같으 과목입니다... ㅎㅎ

ㅊㅊㅇ 조교님 감사합니다!"
물리학실험 2,PARK YUN,23,Fall,5.0,"이번 학기에 퀴즈가 없어졌고 내년부터는 보고서도 없어집니다.
이제는 출결 잘 하고 랩노트만 쓰면 되는 과목"
물리학실험 2,PARK YUN,22,Fall,5.0,"갑자기 꿀강이 되어버린 물실2, 보고서 4번 쓰는거로 바뀐게 축복입니다."
물리학실험 2,PARK YUN,22,Fall,5.0,"조교 운이니깐 시간표 괜찮은 걸로
아무거나 골라 잡아서 들으시면 됩니당
근데 조교 운 안좋으면 빡셀수도
ㅎ 사실 애초에 빡센 과목이긴 한디"
물리학실험 2,유종희,21,Fall,3.0,"A+ 받긴 받았는데요..의미가 없어졌네요ㅎㅎ 내 시간ㅠㅠ
후배님들은 무사히 S받고 졸업하시길"
물리학실험 2,유종희,21,Fall,2.0,씨발 S&U로 바뀔줄 알았으면 진작에 드랍했지 하ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ
물리학실험 2,안경원,23,Fall,5.0,과거에 비해 물실 보고서 개수도 줄고 좋았습니다.
물리학실험 2,안경원,23,Fall,5.0,"물실 이제 꿀강이네요
조교 운빨 그런거 없고 그냥 꿀이에요"
물리학실험 2,안경원,23,Fall,5.0,"너무 로드가 적어진 수업.
솔직히 실험 과목이면 이거보단 로드가 더 있어야 하지 않나..?란 꼰대 마인드가 있으면서도
공짜로 1학점 S 주겠다는데 거절할 이유는 또 없어 보입니다
표절만 하지 마시고 상식적인 수준에서 결과 분석하고 정리하면 S 나옵니다."
물리학실험 2,안경원,23,Fall,5.0,"설마 유 주겠어 이러면서 하면 편함. 
랩노트 뭐 써야되는지만 공부하고 가세용"
물리학실험 2,안경원,22,Fall,5.0,"이번 학기부터 물실 보고서 제출이 절반으로 줄어서 이제야 좀 1학점 같아졌습니다
물실1보다 물실2가 원래 편하고 S/U 과목으로 바뀌기까지 해서 출석 안 빠지고 보고서만 제때 잘 내면 S 나옵니다"
물리학실험 2,안경원,22,Fall,5.0,솔직히 이제 통실보다 조금 더 빡센 수준이라고 생각합니다
물리학실험 2,안경원,22,Fall,3.0,"치웠다 물실 해방이다!
근데 이제 보고서 3주에 한 번 만 쓰면 돼서 물실도 예전만한 악명을 떨치지는 못할 듯. 오히려 옆동네 화실이 더 쓰레기 같다는 소문이? 근데 뭔 상관이야 난 둘 다 치웠는데 ㅋ
저는 중물실 하러 갑니다~~ ㅋㅋㅋㅋ…ㅠ"
물리학실험 2,안경원,21,Fall,4.0,"성적이 너무 칼같이 잘려서 베였습니다 ㅠㅠ

그거랑 별개로, 이번 조교님은 굉장히 좋았어요. 
피드백도 꼼꼼하시구, 기준도 잘 설명해주십니다.

어차피 조교바이조교라 물실은 시간 맞춰서 들으시면 됩니당"
물리학실험 2,안경원,21,Fall,3.0,조교님이 보고서 채점을 너무 느리게 해주셔서 바로 바로 피드백이 안되요… 개념설명은 열심히 해주시는것 같아요
물리학실험 2,안경원,21,Fall,5.0,"물실은 원래 과제 양 많은건 어쩔 수 없는 거고..
조교님 굉장히 좋은 분이셔서 한 학기 그나마 편하게 수강했습니다. 저는 보고서 하나 12등 해서 8개 보고서 평균 등수 2.8등? 정도 해서 A+ 받았습니다
조교님 그리고 학우분들 한학기 수고하셨습니다"
물리학실험 2,안경원,21,Fall,4.0,물실이야 원래 로드 많으니까 어쩔 수 없는거고... 그래도 이번학기 거의 대충 하고 각 보고서별로 성적 평균내면 9.12 / 18 등 정도 했는데 A-주셨습니다... 조교님(교수님?) 그저 빛... 감사합니다 덕분에 교필 잘 치우고 갑니다 :)
물리학실험 2,안경원,21,Fall,1.0,악으로 깡으로 버텨라...............
물리학실험 2,차국린,21,Fall,4.0,조교님 가끔 수업 지각하시긴 했지만.. ㅋㅋ 그래도 적당히 한만큼 성적 나옴. 아 근데 22아가들부터 S/U네 ㅋㅋ 강의평 의미없다. 걍 아무거나 수신잡아라
물리학실험 2,차국린,21,Fall,5.0,"A+ 받았어요!!!!!
어차피 이 강의평 보시는 분들 이제 S/U잖아여;;"
물리학실험 2,차국린,20,Fall,3.0,"에쁠 꿀꺽!                                                
무조건 족보가 답이에요 
화이팅~"
물리학실험 2,이규철,22,Fall,5.0,S/U여서 물실/화실/생실 중에 제일 편하고 트래커를 안써서 물실1보다도 편함. 완전 꼴찌이지만 않으면 U는 안주는듯함
물리학실험 2,이규철,22,Fall,5.0,SU에 보고서 4번이라 완전 편한 과목이 된듯합니다. 이정도면 실험 과목 중 가장 부담없는 과목이에요.
물리학실험 2,이규철,21,Fall,3.0,"물실1보다 할만함
상대평가 시절 물실이어서 당연히 긍정적인 인상은 아님 그래도 조교장님이 학점 잘주려고 노력은 하신듯
S/U 부럽다 정말"
물리학실험 2,장준호,22,Fall,5.0,보고서가 8개에서 4개로 줄어 정말 편해졌습니다. 요구하는 것만 잘 작성해도 S는 쉽게 받을 수 있습니다.
물리학실험 2,백용주,23,Fall,5.0,조교님이 좋으시고 보고서도 2번으로 줄어서 매우 꿀이었습니다!
물리학실험 2,백용주,23,Fall,5.0,조교님이 좋으신 분이고 보고서도 2번만 써도되서 편했다...
물리학실험 2,백용주,19,Fall,2.0,"사실상 레포트는 상향평준화 되었고 퀴즈로 성적 갈림..
퀴즈는 근데 내용 가르쳐주지도 않으면서 알아서 공부해서 가서 봐야됨 불합리함"
물리학실험 2,최현용,22,Fall,5.0,"교수님과 상관없이, 오로지 조교님이 진행하시는 수업이기 때문에 강의평이 의미는 없지만, 친절하게 수업해주셨습니다. 결석하지 않는 것이 중요합니다."
물리학실험 2,최현용,20,Fall,3.0,물리학실험은 교수님과 관련없습니다. 오로지 담당 조교가 누구인지에 영향을 받는 수업입니다. 보고서와 랩노트는 원점수가 아니라 표준점수로 평가하기 때문에 (평점을 주기 때문에) 단순히 원점수를 후하게 준다고 유리한 수업이 아닙니다. 개인적인 견해로는 영어로 작성하면 점수를 잘 안주는 듯 합니다.
물리학실험 2,정성훈,23,Fall,5.0,1학기에 비해서도 보고서 작성 횟수도 줄고 랩노트로 대부분 대체되어 많이 편해졌습니다. 조교님들도 좋으셔서 편하게 들으시면 됩니다.
물리학실험 2,정성훈,23,Fall,5.0,조교님이 친절하시고 점수를 잘 주십니다. 옛날 물실 생각하면 꿀입니다 정말
물리학실험 2,정성훈,23,Fall,5.0,전보다 너무 많이 널널해져서.. 뭐 할 말이 없습니다. 그냥 열심히 하시길...
물리학실험 2,정성훈,22,Fall,5.0,보고서가 8개에서 4개로 바뀌면서 물실1에 비해 훨씬 수월해졌습니다.
물리학실험 2,정성훈,22,Fall,5.0,S/U인데다가 물실1처럼 트래커 안쓰고 보고서가 8개에서 4개가 되어가지고 그냥 날먹 가능한 수업입니다~
물리학실험 2,신용일,22,Fall,5.0,"물실 이제 보고서 4개만 적으면 S받을수 있음

2학점이라 생각하면 들을만할지도?"
물리학실험 2,신용일,22,Fall,5.0,조교님이 좋아서 잘 마무리할 수 있었습니다. 에쎈유로 바뀐만큼 버텨서 치우면 됩니다.
물리학실험 2,신용일,22,Fall,5.0,조교 맞춰서 하면 괞찮은듯 하다. 힘들어도 끝까지 버티자
물리학실험 2,신용일,21,Fall,5.0,"물실 1보단 편함
성적은 늘 그렇듯이 343 칼같이 주는듯"
물리학실험 2,신용일,21,Fall,5.0,"조교님이 매우 귀여우심
물실이니까 학점은 뭐 적당히 나오는듯?"
물리학실험 2,신용일,21,Fall,5.0,"조바조, 우리 조교님은 정말 좋으셨음! (채점이 너무 유하긴 했지만)"
물리학실험 2,김지훈,23,Fall,5.0,물실이라 할 말이 별로 없는데 그냥 조교님이 잘 챙겨주려고 하시는 게 보였음
물리학실험 2,김지훈,22,Fall,5.0,"보고서 4개, 성적 s/u 
정말 맘편히 해치웠습니다.
조교님도 너무 좋았습니다.
학생들 많이 틀린 퀴즈문제는 해설도 해주셨습니다."
물리학실험 2,김지훈,22,Fall,5.0,조교님이 여유넘치셨던것 같아 개꿀빨다 갑니다~
