소그룹 고전원전읽기 2,최윤영,23,Fall,5.0,"이번 학기에는 금발의 에크베르트를 읽었는데, 관련된 심리학적, 역사적 배경도 많이 알려주시고 독일어 실력이 그렇게 좋지 못한 상태였는데도 꼼꼼히 친절히 알려주십니다!"
소그룹 고전원전읽기 2,임홍배,23,Spring,5.0,최고의 소그룹....교수님 너무 스윗하셔요
소그룹 고전원전읽기 2,김영욱,20,Fall,5.0,교수님 짱조으심 ~! 맛난 밥두머금 너무좋았어여
소그룹 고전원전읽기 2,김보민,22,Fall,5.0,최고의 소그룹 수업 ㅠㅠ 영어 못해도 전혀 상관 없고 수업도 부담 없이 듣고만 있어도 된다 성적도 다음날 나왔다 최고 수신이 좀 빡세지만 그만큼 꿀강이기 때문일듯 ㅜ 암튼 신청할 수 있음 이거 무조건 들으세요
소그룹 고전원전읽기 2,김보민,21,Spring,5.0,"셰익스피어의 템페스트(The Tempest)를 읽었습니다!

첫 시간 오티빼고 다 녹강이고 교수님께서 수강 시간을 공식 종강일 이후 시기까지 해주셔서 학기 중에 시간을 투자해야한다는 부담이 없어요! 녹강 듣고 최종 레포트(4-6쪽인데 줄간격 넓게 가능해서 정상적으론 2-3쪽 분량일듯)쓰면 S나옵니당

작품도 재밌고 번역본도 인터넷에서 팔기때문에 따라가기 어렵지 않아요. 추천해요오!!💓"
소그룹 고전원전읽기 2,손창용,22,Spring,5.0,"로드도 거의 없고 교수님 친절하심 
필교 채우려면 무조건 이 강의"
소그룹 고전원전읽기 2,손창용,22,Spring,5.0,외국어에 자신 없는 분들께 추천드리고 싶은 강의입니다 교재가 일단 어렵지 않고 충분히 소화가능한 편이고 발표 두 번에 보고서라는 과제가 있긴 하지만 깊은 내용을 원하시는 게 아니라 가볍게 할 수 있는 걸로 원하셔서 부담스럽진 않아요
소그룹 고전원전읽기 2,손창용,22,Spring,4.0,"다루는 책이 쉬워서 편하긴 했는데, 차라리 어려운 책을 다뤄도 좋으니 발표 2번에 5페이지 이상 분량의 보고서까지는 없는 소그룹을 듣는 게 나았을지도... 그래도 자신 있는 외국어 특별히 없고 영어 많이 못하지 않으면 소그룹 치우기에는 나쁘지 않은 강의"
소그룹 고전원전읽기 2,손창용,21,Spring,5.0,일단 고전원전읽기임에도 쉬운 책을 교재로 선정해주셔서 매주 읽어갈 때마다 그리 오랜 시간을 투자하지 않았습니다. 내용도 그렇게 무겁지 않고 일상에서 스쳐지나가듯이 생각해볼만한 주제들로 이야기합니다. 발표가 2번 있는데 사실상 ppt 10-15장 수준의 짧은 발표였습니다. 부담없이 소그룹 해치우기에 좋았습니다.
소그룹 고전원전읽기 2,손창용,21,Spring,5.0,"한 학기 동안 1인당 발표 2번, 시험 없음, 기말보고서 하나였습니다! 소그룹치고는 자잘하게 신경써야할게 많아서(팀플, 발표 전 제출해야 할 것들이 은근 많음) 개인적으로는 조금 힘들었지만 나름 재밌게 듣기는 했습니다ㅎㅎ평소 영어라는 언어 자체에 관심이 많으시다면 쉽게쉽게 배우실 수 있을듯..
발표는 영어학을 다루는 원서를 챕터별로 잘라서 한 조당 한 챕터를 다루고, 팀 내에서 다시 한 사람 당 맡을 페이지 수를 할당해 준비합니다.  발표 전 ppt 자료+영어 발제문+해당 챕터에서 어려웠던 영단어 목록을 제출해야 했습니당
수업은 각 팀이 돌아가면서 발표한 뒤 교수님이 보충설명과 다양한 언어적 예시를 들어주십니다. 유튜브 영상, 언어학 사이트, 뉴스 기사 등등 자료가 매우 다양합니다
기말보고서는 6장 이상으로 작성해서 내면 됐고 흥미로운 주제와 이를 뒷받침하는 탄탄한 근거를 요구하시는 듯합니당
마지막으로... S 주신 교수님 감사함니다 감삼니다ㅏ"
소그룹 고전원전읽기 2,Siavash Saffari,20,Spring,5.0,그저 갓 입니다. 소그룹 치워야하는 인문대여러분 이거 꼭 1픽 하시길....
소그룹 고전원전읽기 2,Siavash Saffari,21,Spring,5.0,이 수업 덕분에 시를 읽는 즐거움을 알게 되었습니다.
소그룹 고전원전읽기 2,Siavash Saffari,19,Spring,5.0,"시아바시 교수님은 빛이자 소금입니다. 꿀강이자 명강인 수업이에요!  이슬람 문화와 사랑이 무엇인지(종교적이든 개인적이든)에 대해 생각하고, 교류할 수 있는 깊은 수업입니다. 빡센 일주일을 내려놓고 함께 얘기할 수 있는 수업이에요! 교수님도 너무너무 괜찮으신 분입니다. 고전원전읽기는 시아바시 교수님 픽하세요 여러분ㅠㅠㅠㅠㅠ"
소그룹 고전원전읽기 2,Siavash Saffari,19,Spring,5.0,교수님 진짜 너무 좋아요!! 관악의 명강+꿀강입니다. 소그룹고전원던 들어야 하는 분들 완전 추천합니당
