말하기와 토론,박현희,23,Fall,5.0,교수님 너무 좋으세요🥹 학점도 생각보다 잘 주십니다!
말하기와 토론,현영종,23,Fall,5.0,정말 즐겁게 수업 들었습니다. 교수님의 천사로움에 감동하고 갑니다.
말하기와 토론,현영종,23,Fall,5.0,성적이 벌써 나왔네요. 성적은 너그럽게 주시는 편이신 것 같습니다. 말하기와 토론을 잘하고 싶은 분보다는 이미 잘하는 분들이 기량을 뽐내는 경우가 많은 것 같아요. 정말 발표 잘하시는 분들이 많아서 발표를 들으며 많이 배우고 느낀 점도 많은 것 같습니다. 자잘한 로드가 많아서 시험은 없지만 계속 수행평가를 치는 기분이니 참고하세요!! 저는 꽤 즐겁게 수업 잘 듣고 갑니다!
말하기와 토론,현영종,23,Spring,5.0,교수님 되게 좋은 분이고 성적도 엄청 빨리 나왔어요~
말하기와 토론,현영종,23,Spring,5.0,"천사 교수님과 함께하는 즐거운 수업
잘 듣고 갑니다"
말하기와 토론,윤선구,18,Spring,5.0,"시험 없고 발표(토론) 4번에 성찰일지 작성이 끝인 수업이라 좋았어요. 갠적으로 발표 준비하고 연습하면서 어느정도 도움이 된 것 같아서 만족합니다. 첫 실기였던 정보전달 말하기에서 다른 분들 발표를 들으면서 소소하게 배워가는 점도 많았고, 수업시간에 자유토론 하면서 되게 재밌었어요. 학점은 한 만큼 주시는 것 같아요! 나름대로 노력한 만큼 성적 주신 것 같아서 만족합니다(A0)"
말하기와 토론,윤선구,18,Spring,4.0,"장점: 로드가 할만하다. 말잘하는 고학번들한테 양학당했는데 에제받았으니 학점도 나름 잘주시는듯
단점: 교수님의 의도가 전달이 안된다. 솔직히 뭐라 하시는지 이해 못하다가 다른 사람들 하는거 보고 아 이런식으로 하는거구나 한 적이 많았다.
팁: 성찰일지 그때그때 써놓으세요 나중에 몰아서 쓰려면 귀찮아요"
말하기와 토론,박재홍,19,Spring,5.0,로드 적고 수업분위리 빡세지 않아서 즐기면서 들을 수 있는 수업! 다만 뭔가 얻어간다는 느낌은 좀 적다. 그래도 한 학기 내내 즐겁게 들은 수업 원탑이기에 5점...!
말하기와 토론,박재홍,19,Spring,5.0,"그저 빛...  말토의 최고봉


이외의 말은 생략한다."
말하기와 토론,박재홍,19,Spring,5.0,현직 아나운서를 하시고 계셔서 발성이 매우 훌륭하십니다. 시험이 없어 수업은 편하게 듣는 분위기며 각 발표 과제 직전 수업에서 발표 팁이라던가 방향성이라던가 알려주십니다. 잘 참고해서 발표 준비하면 좋습니다. 마지막 토론 조별로 랜덤주제 찬반토론 하는거 준비 약간 빡셉니다.
말하기와 토론,박재홍,16,Spring,5.0,"그저 재홍갓.. 입니다. 아나운서셔서 발음이나 발성도 굉장히 좋으시고, 말 자체를 잘 하십니다. 수업에도 충실하시고, 중간에 버들골로 한 번 소풍을 갔는데 힐링 그 자체... 로드도 그닥 안빡세고 학점도 잘 주십니다."
말하기와 토론,박재홍,18,Spring,5.0,"자기소개, 말하기 습관 발표, 정보 전달 말하기, 설득 말하기, 토론하는데 자기소개는 점수에 안 들어가요. 토론 빼고 다 자유 주제인데 토론 주제 뽑기로 하는데 시사 문제는 좀 어려울 수 있는데 토론 지고 팀 내에서도 베스트 스피커 아니였는데 에이쁠 떴어요~ 진짜 교수님 너무 너무 재밌으시고 수업 한 두번만에 학생들 이름 다 외우시고 너무 짱이에요. 다들 재홍 말토하세요~~~~"
말하기와 토론,홍은영,23,Spring,5.0,"로드가 일단 많아요! 그거 감안하시면 좋을 것 같은데 일단 시험 없어서 너무 좋고 제가 꿈꾸던 대학 생활의 그런 교양이 딱 이 말토입니다. 수업을 그냥 듣는게 아니고 직접 말하고 대화하면서 활동하는 수업이라 수업 가는게 재밌어서 한 번도 안 빠졌고, 구성도 좋아요. 특히 교수님께서 하시는 말씀들 중에 배울게 정말 많아요! 전 예과생 아니고 그냥 다른 전공인데 넘 즐거웠슴당"
