스와힐리어 1,양철준,23,Winter,4.0,스와힐리어는 노잼이지만 교수님이 유쾌하셔서 수업 들을 맛이 났다. 이 강의를 들을 사람이라면 교수님이 강조하는 문법을 꼭 암기하자.
스와힐리어 1,양철준,23,Fall,5.0,한국에서 배우기 어려운 스와힐리어… 생각보다 재미있고 흥미롭습니다. 로드는 중간 기말 끝! 교수님께서도 설명 잘해주셔서 수업만 열심히 듣는다면 시험문제 푸는데 어려움 없고 성적도 잘 받을 수 있을겁니다. 랩수업도 없고 스와힐리어도 단기간에 실략 향상할 수 있어서 저는 매우 만족했던 수업 ⭐️
스와힐리어 1,양철준,23,Fall,3.0,"재미없음
교수님 친절하시지만 부담스러움
다시는 소수강의 듣지 않으리
드미포이고 절평인지 상평인지는 안 가르쳐주심
중간 결과를 거의 삼주후? 에 알려주셔서 중간 점수보고 드랍 불가능"
스와힐리어 1,양철준,23,Summer,4.0,"강의력 3/5
개념 설명은 매우 잘하시지만 직접적 관련이 없는 내용까지 설명하실 때가 있어 집중하기 어려울 수 있음. 특히 통강(계절의 경우 4시간) 동안 집중력을 계속 유지하기가 어려울 수 있음. 그래도 수업 자료에 거의 모든 내용이 이해할 수 있는 형식으로 제공되어 큰 문제는 되지 않음.

수업 진행방식 4/5
계절의 경우 1시간 반 수업, 15~30분 휴식, 50분 수업, 10분 휴식, 40분 수업 형식으로 진행하셔서 통강인 것에 비해 아주 힘들지 않음. 또한 수업 자료에 나와있는대로 수업을 하셔서 크게 어려운 것은 없음

시험/성적 4/5
시험은 두 번, 40%씩+ 사실상 의미 없는 출석 20%
시험에 나오는 개념은 크게 어렵거나 많지는 않아서 부담이 아주 많지는 않음. 단 외워야 하는 단어가 많은 편이고, 시험 범위 단어를 제시하시기는 하시지만 그 외에도 수업 자료에 나온 단어가 많이 나오기 때문에 외우는 게 힘들 수 있음. 그래도 채점을 하실 때 정말 억지로 점수를 더 주시려고 하는 게 보임. 0.5점 문제를 0.17로 나눠서 부분 점수를 주시는 걸 보면 정말… 감동 
그러나 에쁠 비율에 만족하기 어려운 학생들은 있을 수 있음. 계절 학기 신청자 28명 중 16명이 남았고, 그 중 3명 정도가 에쁠, 3~4명 에제. 난 중간 때 5등하고 기말 때 비슷하게 나오고 출석 만점으로 에제 받음.

전반적으로 교수님은 너무 착하시고 설명도 잘하시기 때문에 추천하는 강의임. 스와힐리어도 (당연히) 매우 잘하시기 때문에 잘 배우고 간다는 느낌이 듦. 스와힐리어 또는 다른 반투언어에 관심이 있으면 매우 추천."
스와힐리어 1,양철준,23,Spring,5.0,3시간 50분 수업이 좀 힘들긴 하지만 랩도 없고 과제도 없고 시험 두번만 보면 되는게 최고의 장점입니다 교수님도 정말 친절하시고 수업 중간마다 아프리카 노래와 프랑스 노래를 들려주셔서 많은 노래들을 알아갈 기회도 있어요 성적도 너무 잘주셔서 정말 최고입니다 ㅎㅎ
스와힐리어 1,양철준,22,Fall,5.0,"3시간 50분 통강이라 지루하긴 하지만 쉬는 시간도 중간중간 넉넉히 주려고 하시고, 학생들 덜 지루하라고 아프리카 음악이나 프랑스 음악 소개도 해주심. 
교수님 강의력이 좋은 편이라고 할 수는 없지만, 수업을 못 듣고 그럴 정도는 아님. 과제와 랩 수업이 없어 부담이 적고, 시험도 쉽게 출제하시고 채점 할 때 부분 점수도 최대한 많이 주시려고 하심. 시험은 하루 이틀 교재 중심으로 공부하면 좋은 성적 받을 수 있음.
개인적으로 이번 학기 나름 재밌었던 수업이었음. 언제 또 스와힐리어를 배워보겠음? 교수님 인성도 매우 좋으시니, 특이한 외국어 강의 들어보고 싶다면 추천함!"
스와힐리어 1,양철준,21,Fall,2.0,"교수님 강의력이 좋은 편은 아닙니다만 이것만으로는 큰 문제는 아닙니다. 교수님 성격도 좋으신 편이고요.
다만 4시간동안 연속으로 수업을 듣는게 상당히 힘들어요. 저는 너무 고통스러웠습니다.
시험은 어려운 편은 아니지만 전날 하루 벼락치기해서 점수 잘 나오기는 힘들어요.
 주 2회 수업으로 바뀌면 4점은 드렸을 것 같아요."
스와힐리어 1,양철준,21,Fall,5.0,"외국어 교양 로드가 시험 한방

스피킹 없고 심지어 시험에 스와힐리어 작문도 안 나옴

단어 암기 + 문법 이해만 하면 끝"
스와힐리어 1,양철준,22,Spring,5.0,"예전에 방심했다가 C0 맞고 재수강 함. 고로 꿀강이다, 학점 잘 준다는 말이 많은데... 그 정도는 아닌 것 같습니다. 스와힐리어 언어 자체가 쉬워서 수업이 지루할 수도 있지만 개인적으로는 교수님을 워낙 좋아해서 재밌게 들었습니다. 교수님이 자상하고 따뜻해서 들을 때 마다 기분 좋아지는 수업이라고 생각해요 ㅎㅎ 멋진 어른이십니다"
스와힐리어 1,양철준,20,Spring,5.0,조금만 애정을 갖고 공부하면 충분히 할 수 있음!
스와힐리어 1,양철준,21,Fall,5.0,"21 겨울 계절로 수강했습니다. 강의평이 이렇게까지 안 좋을 강의는 아니라고 생각해서 수강평 남깁니다.

과제: 저어어언혀 없습니다.
시험: 로드는 단 한번의 시험만 있습니다. 시험 난이도도 정말 쉬워서, 평소에 수업을 아예 안 듣고 딴짓한 게 아니라면 솔직히 하루 이틀만 공부해도 술술 풀 수 있는 정도였습니다. 또 채점 방식도 한 문제에서 오류가 있다고 점수를 다 날리는 게 아니라 거기서도 점수를 세분화해서 어떻게 해서든 쓴 것에 대해 부분점수를 주시려고 하십니다.
출결: 따로 출석을 부르거나 하진 않고, 교수님께서 따로 체크를 하시는 것 같은데, 결석이 아니라면 지각엔 정말 관대하십니다. 늦어도 그럴 수 있지~ 하루 정도 빠져도 그럴 수 있지~ 하며 이해해주시는 편입니다.
수업: 계절이라 하루 4시간씩 수업을 했는데, 아무래도 긴 시간 교수님 혼자 수업을 하시다보니 집중력이 흐트러지기도 했습니다. 하지만 중간에 두번이나 쉬는 시간을 주시고, 한번 쉴 때도 정말 넉넉히 여유를 주셔서 전 별로 버겁다고 느끼지 않았습니다. 쉬는 시간 끝나고 아프리카 노래도 찾아 틀어주시는데, 어떻게 해서든 학생들이 지치지 않고 따라오게 해주려는 교수님의 노력이 느껴졌습니다. 아마 학기 중엔 수업 시간이 더 짧으니 수업 듣기 더 쉬울 것 같습니다.
교수님 성품: 자주 딴길로 새셔서 수업과 관련 없는 이야기를 막 하시곤 하는데, 그럴 땐 그냥 아 잠깐 쉬는 타임인가 하고 편하게 듣고 있으면 됩니다ㅎㅎ. 교수님도 이 점을 잘 알아서 스스로 고치시려고 하는 것 같은데, 잘 안 되는 것 같습니다. 하지만 교수님께서 학생들을 정말 많이 배려해주시고 뭘 물어봤을 때 대답하지 못해도 전혀 무안하지 않게 무한반복해서 설명해주십니다. 학생들에게 많은 걸 기대하시지 않고 정말 쉬운 것도 같은 설명을 기꺼이 여러번 친절하게 해주시는 천사십니다. 
오차피 졸업하려면 언어 들어야 하는데 뭘 들어야 할지 모르겠다면 진짜 스와힐리어 안 들을 이유가 없습니다. 언어 자체도 알파벳이고 문법도 겁나 단순해서 공부 자체도 부담이 없습니다.
아직 언어 안 들으신 분들께 정말 추천합니다!!"
