불확실성의 세계와 통계학,조신섭,19,Fall,1.0,10쪽짜리 학기말 레포트+ 시험3번+ 레포트 내용 학기말 발표 입니다. 팀플도 시험공부도 열심히 했지만.. 문송해서 씨쁠....
불확실성의 세계와 통계학,오희석,23,Fall,5.0,"이 강의를 더 많은 분들이 들으셨으면 해서 강의평 남깁니다.
기초 통계학 입문 내용과 함께 통계학을 왜 배워야하는지, 기초통계학 내용을 실제 연구나 탐구 시 어떻게 적용할 수 있는지까지 이해할 수 있었습니다. 개인적으로 타 기초통계 강의에서의 내용이 머리로는 이해되었지만 마음에 와닿지는 않았는데, 이 강의로 부족한 부분이 채워진 느낌입니다. 경험이 풍부한 교수님께서 복잡한 수학 없이도 논리적으로, 반복적으로 차근차근 기본 개념을 설명해 주셔서 내용이 굉장히 이해가 잘 됩니다. 

시험 또한 수업에서 벗어나는 부분 없이 출제되며, 노력하는 대로 점수를 받아갈 수 있습니다. (이번 학기에는 이전 2개년 기출을 배포해주셨는데, 상당히 유사한 내용으로 나왔습니다.)

성적은 이번 학기에 드랍자가 많아서 그런지 예상했던 것보다 좋은 학점을 받았습니다. 아래 강의평들을 보니 최초수강생 수와 해당 학기 통계값을 참고해서 주시는 듯한데, 이건 학기를 타는 부분인 것 같아 단정짓기가 애매할 것 같습니다.

출결은 간헐적으로 (체감상 2주에 한번) 체크하시는데 성적에 많이 반영되지는 않은 것 같습니다. 게다가 종종 비대면 실습영상으로 강의가 대체되기도 해서, 아침수업이긴 했지만 크게 힘들지는 않았습니다.

수학이 어려워서, 내용이 복잡해서 통계학이 꺼려졌지만 통계학이 진로진학에 필요하신 문과 저학년 분들이 이과 교양 채우는 겸 다른 통계 수업 듣기 전에 한번 수강해 보시면 괜찮을 듯 하네요."
불확실성의 세계와 통계학,오희석,22,Fall,5.0,"경제통계학보다 좋은 강의.
경통 듣기 전 듣는 거 추천."
불확실성의 세계와 통계학,오희석,22,Fall,4.0,교수님 강의력 좋으시고 내용 흥미로운데 노베여서 힘들었습니다… 미리 통계학 배우고 들었으면 더 좋았을 것 같아요! 성적은 q2 q2로 비쁠 받았어요
불확실성의 세계와 통계학,오희석,22,Fall,5.0,"노배가 듣기에는 좀 힘들지 않을까.. 저는 통계학이랑 같이 들어서 서로 보완되는 느낌으로 공부해서 괜찮았지만, 통계학에 대한 지식이 전무한 상태로 듣기에는 부담이 좀 있는 과목이라고 생각합니다.
성적은 중간 q2, 기말 4등해서 에제 받았습니다. 좀 짤리 주시는 것 같습니다.
강의력이나 강의 내용은 정말 좋으십니다! 사례도 다양하고 듣고 있으면 똑똑해지는 느낌이 드는 강의라고 생각합니다.
통계학 수강하셨으면 과학 교양으로 치우기 괜찮은 강의라고 생각합니다~!"
불확실성의 세계와 통계학,오희석,22,Fall,5.0,"성적은 칼이시지만 정말 배워가는게 많습니다. 성적은 공부한만큼 나오고, 수학/통계가 아예 노베이스라면 따라가긴 힘들겁니다. 재미있는 예제를 많이 알려주셔서 강의가 흥미롭고 왜 이걸 배우는지 이해가 잘 갑니다. 명강입니다.
출석은 반영 안하십니다."
불확실성의 세계와 통계학,오희석,22,Fall,4.0,"노베는 듣지 말 것

통계 좀 치는 고인물인데 이거를 통계학 수업 하나도 안 듣고 그냥 본인이 수학 잘한다고 생각하는 경제 경영 새내기들이 듣는다고 생각하면 아찔함. 통계학 베이스 없이 수리적 센스만으로 이해하기에는 한계가 있다고 생각함. 수업 중에 절반은 통계학의 응용에 대해서 얘기를 함에도 불구하고 교양 통계학이 커버하는 내용(확률의 정의 ~ 분산분석)과 일치한다는 사실이 이 수업이 이론적으로 탄탄하지 않다는 점을 방증함. 물론 이러한 이유 때문에 시험은 문과식으로 나오고, 수업을 통째로 암기하면 시험 자체는 잘 볼 수 있겠지만 무슨 의미가 있나 싶음. 

반대로 본인이 교양 통계학을 들었거나 통계학 전공을 들었다면 이 수업에서 얻어갈 것이 꽤 많음. 실제 데이터를 다루기도 하고, 통계학적 직관을 높이는 데에도 도움이 됨. 그런데 또 시험을 아예 날먹하기는 어려운게 무지성 암기를 해야만 풀 수 있는 문제가 출제되기도 하고(ex. A라는 통계학자가 했던 어떤 실험의 검정 결과는?), capture-recapture problem, AIC, BIC, ANOVA->regression 표현법 및 multicollinearity 해소법 등 교양 통계학에서 다루지 않는 내용도 가르치고 일부는 시험에 출제됨.

학점은 아마 A대 자체는 짜진 않은데 A+은 많이는 안 주시는 것으로 앎. 본인은 2max - 5로 A+"
불확실성의 세계와 통계학,오희석,22,Fall,5.0,"선요약
- 최소한 교양통계학 정도의 베이스가 갖춰져 있다면, 이 강의에서 통계학적으로 얻어갈 것들이 많을 거라 생각함. 하지만 노베이스가 듣는 건 만류하고 싶음.

1. 수업 진행
첫 시간에 통계 수업을 들은 사람에게는 별 도움이 안 될 거라고 말씀하시는데, 오히려 통계학을 선수강하는 편이 이 수업에서 무언가를 얻어가는 데 더 도움이 될 거라 생각함. 교수님이 단순 통계 공식·검정 방법만 다루는 게 아니라 그 이면의 직관이나 실사례 적용 등에 대해서 꽤 비중 있게 다루시기 때문에 교양통계 수준을 미리 익혀 놓고 오는 편이 더 좋다고 봄. 직관 같은 요소들을 굉장히 중요하게 여기지만, 통계 특성상 당연히 수리적인 접근도 상당히 비중있게 다룸. 다시 말해 통계를 소재로 한 썰풀이만 하는 강의는 절대 아님. 이과교양 치우려고 오는 통계, 수학 노베이스 문과생이 들을 만한 강의는 아님.
교수님 강의력은 매끄러움. 수업 시간에 다루는 직관들이나 실사례들이 의미 있는 내용들이고, 전달력도 상당히 좋은 편. 다만 교수님 목소리가 작고 마이크를 따로 사용하시지는 않으시기 때문에 뒷자리에서는 집중이 잘 안 될 수 있음.
조교님이 진행하는 실습 강의도 있는데, R을 사용하고 조교님의 강의 진행 및 자료도 상당히 좋았음.
 
2. 로드
문제풀이 과제가 4번 정도 출제되었는데 수업 잘 들었으면 풀이에 크게 부담되지는 않는 수준임. 시험은 중간고사와 기말고사 두 번 실시되며 직접 계산하는 문제보다는 함의를 서술하는 문제가 많았던 것으로 기억함.

3. 학점
본인은 오로지 졸업을 위해 이수학점 채우기 용도로만 이 강의를 수강했고, 중간고사 기말고사 두 번 모두 던져서 Q1보다 밑의 점수를 받았음. 그럼에도 B-를 받았고, 이걸 보면 학점 충분히 잘 주시는 것 같음. 적어도 드랍자는 포함해서 학점을 주시는 듯."
불확실성의 세계와 통계학,오희석,22,Fall,4.0,통계학 한번 듣고 수강하먼 훨씬 수월합니다 !! 통계학 수업과는 다르게 실제 데이터 활용 사례를 많이 말씀해주셔서 비교적 재밌게 수강했습니다
불확실성의 세계와 통계학,오희석,21,Fall,5.0,"통계학 듣고 오면 좋습니다. 저는 통계학 들으면서 같이 들었는데 괜찮았습니다. 
통계학이랑 비교하면, 통계학은 완전히 방법론적이고 계량적인 부분에만 치중하고
불세통은 그걸 베이스로 실무/학계에서 어떤 응용이 이뤄지고 있는지 등을 공부합니다. 통계학이 훨씬 전공스럽고 불세통이 훨씬 교양스럽습니다. 다만 그 베이스가 통계학이다 보니, 처음 접한다면 어려울 것 같습니다. 
과제가 생각보다 어렵습니다. 근데 좀만 잘 찾아보면 다 할 수 있습니다. R코딩 어차피 다 검색 싸움인 것 같습니다. 시험은 그냥 문과 교양하듯이 내용/흐름 다 눈에 익을 정도로 보시면 됩니다. 숫자로 뭐 하는건 중간에만 나오고 기말에는 안 나왔습니다.

A+ 과제 100 100 92 100
중간 83 (Q1 Q2 Q3 mean 61 - 66 - 71 / 66)
기말 92 (33 - 55 - 71 / 51)"
불확실성의 세계와 통계학,오희석,21,Fall,4.0,"통계학에 대한 베이스가 있으면 이론은 부담스럽지 않은데, 강의를 듣지 않고 시험에 임하기에는 문제 유형이 전형적이지가 않아서 좋은 점수를 기대하기는 어렵습니다. q3 / q2 인데 A-인걸로 보아 강의평에 비해서는 잘 주시는 것 같습니다."
