독일어권 문화의 이해,Christian Baier,23,Fall,4.0,"강의 전반부에는 독일의 역사를 간단하게 배우고 후반에는 문화에 대해서 더 배울 수 있었습니다.
과제로 비디오를 보거나 내용을 읽어오면 그걸 기반으로  다 같이 대화를 나누는 형식입니다. 또 그룹으로 나눠서 토론을 더 합니다. 은근히 재미있고 편안한 분위기라 생각보다 의견을 말하고 전하는 게 편했습니다.
팝 퀴즈도 가끔 있고 기말은 발표로 끝냅니다."
독일어권 문화의 이해,명정,23,Spring,3.0,"강의력이 정말 좋으시고 내용도 재미있지만, 양이 좀 많아서 외워야 할 것이 많습니다..  성적은 343 맞춰 주시는 거 같은데 암기하는 거 좋아하시면 들어보세요"
독일어권 문화의 이해,명정,22,Spring,4.0,"교수님 강의력은 분명 좋으신 것 같고, 교양 수업의 정석 같습니다.
그런데 시험이 어렵고 성적이 짜신 편.."
독일어권 문화의 이해,명정,23,Spring,4.0,강의력도 좋으시고 이 분야에 관심이 있으면 재밌을 내용. 하지만 너무 외울 게 많고 성적 편차가 심함.
독일어권 문화의 이해,명정,23,Spring,4.0,"과목명처럼 독일어권 문화를 개괄적으로 다루는 강의입니다. 교수님의 강의력이 좋은 편이고, 과제나 시험도 크게 부담스럽지는 않습니다. 다만 역사가 중점적으로 다루어지기에, 세계사에 익숙한 분들이 보다 수월하게 수강할 수 있을 만한 강의인 듯 싶습니다."
독일어권 문화의 이해,명정,23,Spring,4.0,필기할 내용도 많고 시험 볼 때 암기해야 할 내용도 많아서 힘들어요. 그래도 이해보다 암기하는거 선호하는 분들은 괜찮을 거 같아요
독일어권 문화의 이해,명정,22,Spring,5.0,"2022-1 수강
강의력 좋으시고, 필기도 그렇게까지 엄청 많은 편은 아닌 듯 느껴졌습니다.(학점이 낮아서 글쎄요..)
세계사에 대한 관심이 전혀 없으면 
학점은 343으로 주셨고(교수님 피셜), 대신, B는 쁠몰인 듯 하였습니다."
독일어권 문화의 이해,명정,22,Spring,4.0,"2022 여름학기 수강자입니다
교수님께서 깐깐하셔서 (출튀를 방지하기 위해) 수업 시간에 출석을 여러 번 부르시는 경우도 있습니다
그러나 강의력 정말 좋으십니다
Ppt는 일부만 제공되기에 필기가 필수입니다
시험은 중간 기말 두 번이고 단답형+서술형 총 25~30문제 정도이고 단답형은 키워드 용어 중심 서술형은 간략한 한 문장 정도의 서술 느낌으로 가볍습니다
다만 생각보다 외울 것이 많습니다"
독일어권 문화의 이해,명정,22,Spring,4.0,시험 범위가 일단 너무 많고 생각보다 문제들도 지엽적이어서 시험 공부하는게 힘들었네요…. 꿀강은 절대 아니지만 교수님께서 인품도 좋으시고 강의력도 좋으셔서 명강은 맞습니다!!
독일어권 문화의 이해,명정,22,Spring,5.0,그저 빛 명정교수님 사랑합니다. 여러분 존버가 답이에요ㅠ 그런데 세계사를 모르시는 분들은 살짝 어려울수도!! 저도 세계사 선택 안해서 외울 게 너무 많았다는 게 단점이었어용 그래도 그저 빛
