화학실험,이승훈,23,Fall,5.0,계산화학실습에서 하트리 폭 나온 것만 빼면 괜찮았습니다. 근데 계산화학은 정말 선 너무 많이 넘는 거 아닙니까? 선대도 모르는 1학년에게 양자화학 교재를 읽으라는 건지..;
화학실험 1,주상훈,23,Spring,3.0,"시작 별점 : 5점 (-1) 자주 고장나는 실험 도구. (-1) 매 실험마다 채점 조교도, 채점 기준도, 과제도 달라지는데 학점 부여는 절대평가인 납득하기 어려운 평가 방식. (-1) 실험 과목답게 어마어마한 로드. (+1) 그래도 조교님들 모두 열정적이고 친절하심!  최종평 : 실험과목이 다 그렇지 뭐... 서울대 공대/자연대에 온 걸 환영한다 아쎄이!"
분석화학실험,김진영,23,Spring,5.0,그저 빛조교님...! 힘들기도 했지만 얻어가는게 진짜 많은 수업이었어요
화학실험 1,Not Determined,21,Spring,5.0,"힘들었지만 성적이 잘 나왔으므로 별 5개 질문할 때마다 조교님들께서 정말 친절하게 설명해주셨습니다 조교님들께 너무 감사합니다.."
화학실험 2,송윤주,22,Fall,2.0,어떤 조교를 만나느냐에 따라서 성적이 천차만별인 이상한 과목
화학실험 2,송윤주,22,Fall,3.0,실험 진행하는 조교님이 다 달라서 보고서 점수는 당연히 오락가락하다...  근데 성적 공개가 너무 느려 클레임 걸 수가 없네...
화학실험,홍승윤,23,Fall,3.0,"실험과목 중에 제일 빡셉니다. 8번 실험 진행하는데 매 시간 예비보고서, 랩노트, 결과보고서 모두 작성해야 합니다. 성적도 조교 바이 조교여서... A0 정도를 목표로 하고 하라는 것만 하시면 될 것 같네요"
화학실험,홍승윤,23,Spring,2.0,조교 바이 조교. 열심히 한다고 꼭 점수가 잘 나온다고 보장할 수 없음. 채점기준이 조교별로 확연하게 다르다는 것이 느껴질 정도
화학실험,홍승윤,23,Spring,2.0,"초반부에 진짜 열심히 했는데 결국 A0……. 진짜 조교바이조교가 너무너무 심해서 조교마다 분량 기준 채점 기준 너무 제각각이에요……. 애매한거있으면 무조건 조교님한테 메일로 물어보세요  진짜 열심히 했는데 낮게 나오기도 하고 진짜 대충했는데 잘나오기도 해서…ㅠ 저는 에쁠이 목표였어서 스트레스 받으면서 했지만 에제 정도 목표로 하고 적당히 하는거 추천드립니다 그래도 레포트 쓰면서 역량은 많이 성장했다고 생각해요"
화학실험,홍승윤,23,Spring,3.0,"매 실험마다 프리랩 랩노트 결과레포트 하나씩 있음, 화실 듣는다면 그냥 종강 전까진 과제 레포트가 항상 패시브로 존재한다고 생각할것...  조교바이조교가 심함 assignment 수준도 그렇고 채점의 깐깐한 정도도 그렇고 레포트 그렇게 열심히 쓸필요까진 없음 조교를 잘 만난다면"
화학실험,홍승윤,22,Fall,4.0,저는 최대한 시간을 적게 쓰고 적당히 과제 제출만 다 해서 에이마 받았습니다. 시간을 적게 써서 학점이 괜찮게 보이는지는 모르겠습니다. 다만 조교별 채점 기준이 다른 것과 일부 과제의 난이도가 실험 과목에서 다룰 수준이 아닌 점은 문제가 있어 보입니다. 화실이기에 그냥 대충 빨리 듣고 치우는게 제일 좋은 것 같습니다. 굳이 시간 많이 쓰지 마세요. 열심히 한다고 점수 잘 주는 거 아니고 대충 한다고 안 나오는 것도 아닙니다.
화학실험,홍승윤,22,Fall,1.0,"할 거 너무 많음 한 학기 스트레스의 절반은 이놈… 그리고 성적도 절평이라 완전 조교빨인데 우리 분반은 채점    ㄹㅇ 까다롭게 한 편인듯"
화학실험,홍승윤,22,Fall,3.0,"1학점이지만 실험 포함 주 10시간 정도는 쓰실 각오 하셔야 합니다. 다만 1학기 내 실험이 8번이라 중간,기말고사기간 로드가 없다는건 다행인데, 필수 작성내용 위주로 다 집어넣어서 성실하게 작성하시면 A학점 받는데는 문제 없을거에요"
화학실험,홍승윤,22,Fall,2.0,실험에 대해 자세히 설명안해주시는 조교님이나 질문해도 잘 안알려주시는 조교님 만났을 때 힘들었습니다. Assignment의 답도 찾기 힘들었구요..
화학실험,홍승윤,22,Fall,1.0,서울대의 모든 실험 과목 중 가장 불친절하고 시키는 게 많은 과목. 다시는 보고 싶지 않음
화학실험,홍승윤,22,Fall,1.0,할 건 너무 많은데 설명과 자료 제공이 너무 부실함
화학실험,홍승윤,22,Fall,2.0,"옆집 물실도 SU던데 화실도 이제는 바뀌기를 바라며 성적이 나오지는 않았지만 잘 넘겼기에 감사합니다"
화학실험,홍승윤,22,Fall,2.0,"아래 강의평 매우 동의. 매 실험마다 달라지는 채점기준과 보고서 양식, 일반화학 수준을 뛰어넘는 과제들. 드디어 치웠다 화실 안녕"
화학실험,홍승윤,22,Fall,2.0,"물실 : 보고서 4회, 랩노트 4회, 시험 8회, S/U 화실 : 보고서 8회, 랩노트 8회, 학점으로 줌 거기다 실험은 대학생 보고 하라 하기도 민망한 실험을 시켜서 자괴감을 주거나 대체 화학 전공도 아닌 학부 1학년들이 어떻게 하라고 싶은 assignment를 줘서 구글링에 모든 시간을 허비하게 함. 이걸 교필로 시키는 게 대체 어떤 의의가 있는지 모르겠음."
화학실험,홍승윤,22,Fall,1.0,"서울대학교는 1학년 실험 과목을 폐지해야 된다. 말 같지도 않은 실험들을 시켜 놓고 매 실험마다 프리랩, 랩노트, 보고서를 모두 제출하라는 건 좀 선 넘지 않나 싶음. 또 프리랩과 보고서 자기표절에 지나치게 예민한데, 이게 대체 뭘 위한 건가 싶음."
화학실험 1,이윤호,22,Spring,5.0,어차피 조교님들은 매 실험마다 바뀌지만.. 다들 너무 친절하시고 질문에도 친절하게 답변해주셔서 좋았음. 분량이나 출처 표시에만 신경쓰면 충분히 에이쁠 가능
화학실험 1,이남기,23,Spring,1.0,"화학실험은 삶의 질을 떨어뜨리는 가장 효율적인 방법입니다. 실험 8번, 매 실험마다 예비보고서/랩노트/결과보고서 작성하며 3번이상 미제출시 F입니다. 도망...ㅊ.."
화학실험 2,이철범,21,Fall,5.0,"성적은 80점 이상 A 60점 이상 B 로 절대평가 였음. 쁠제마는 각 점수대 안에서 나누는 기준이 있나봄(이건 상대적인 기준) 조교님들 피드백도 너무 구체적으로 잘해주셨고, 채점기준이 명확하며 너무 친절하심. 개념설명 엄청 잘하시는 조교님 계심 많이 힘들긴 했지만.. 실험과목은 ㅠ 어쩔 수 없답니다~~ 빨리 치우는 게 좋아요😊 그래도 훌륭하신 조교분들 덕에 5점 드립니다."
화학실험 2,David Yu-Kai Chen,21,Fall,3.0,"실험은 실험인 만큼 극혐이긴 하지만 레포트 분량 로드, 학점 부여 등의 면에서 그래도 물실보다는 많이 나은 과목"
화학실험 1,이현우,21,Spring,4.0,매주 실험 레포트가 있다는 점에서 다신 듣기 싫은 과목이지만 그래도 레포트 쓰는 연습은 정말 많이 할 수 있었음.(실제로 레포트 쓰는 실력이 늘기도 했고) 출석이 정말정말 중요한데 그 이유는 출석을 못하면 레포트도 쓸 수 없어서 출결과 과제 모두 감점되기 때문. 그래도 꼬박꼬박 출석하고 레포트 죽어라 쓰면 학기 끝날 때 에이 대를 성적으로 받아갈 수 있음.
화학실험 1,이현우,21,Spring,5.0,수업은 20분 정도고 8개의 레포트를 썼습니다. 1학점이지만 많은 시간을 투자해야 합니다. 레포트는 결과분석+과제로 이루어져 있는데 과제가 점수비중이 높아서 점수를 잘 받고 싶으면 과제를 잘 써야합니다.
