미적분학연습 1,국웅,23,Spring,5.0,"퀴즈 75/75
결석 2회
유니미 5회 미제출

에이쁠

달다"
미적분학연습 1,이계선,23,Spring,5.0,발표와 퀴즈만 성실히 수행하면 학점 잘 나옴. 따로 중간고사나 기말고사는 보지 않음.
미적분학연습 1,이계선,23,Spring,4.0,"미적분학 1 강좌와 함께 수강하길 권장하는 과목으로 연습문제를 풀고 발표하는 수업입니다. 교수님은 학점만 최종 부여하시고, 세부 성적은 모두 조교님께서 담당하십니다. 따라서, 조교님 따라가는 수업이라고 보시면 됩니다. 이번에는 조교님께서 굉장히 열정적이셔서 나름 재미있었습니다. 발표 시간이 나름 빡빡해서 수업이 거의 매주 정시 근방에 끝나긴 했습니다. 그렇지만, 수업 끝날 때마다 공부 도움 되도록 지정하여 발표하게 하신 문제들에 대해 정리해 주셔서 도움이 된 것 같습니다. 약간 아쉬운 점이라면 마지막 시간에 교수님과의 소통이 원활하지 않았는지 시험에서 빠지는 곡률 문항 위주로 준비가 되었다는 점 정도 있겠습니다. 성적은 대부분 쁠몰로 주시는 것 같은데 분반 따라 재수강 점수가 나오는 경우도 보기는 했습니다. UniMe 까먹지 않고, 결석 2번 이상 하지 않고, 퀴즈 대비하면 충분한 점수 나오지 않을까 생각합니다. 참고로 퀴즈는 이번 학기에만 4번에서 3번으로 줄여 진행하였습니다. 약간 타임어택으로 느껴질 수도 있을 것 같습니다. 끝으로, 마지막 공지로 장문의 조언 함께 달아주신 조교님! 잊지 않도록 하겠습니다."
미적분학연습 1,이계선,23,Spring,3.0,수업 절반은 수업이고 절반은 학생 발표입니다. 중간 테스트가 3문제 정도씩 3번 있는데 어렵지 않아 성적 받기는 쉽습니다. 이번 조교님은 수업을 일찍 끝내주시지는 않았습니다.
미적분학연습 1,서의린,22,Spring,5.0,퀴즈도 쉽게 내주시고 내용 설명도 교수님보다 잘 하시고 친절하게 질문 받아주시고 준비도 열심히 해오시는 ㄱㅎㅅ 조교님 사랑합니다
미적분학연습 1,서의린,22,Spring,5.0,"연습 수업은 교수님이 아니라 조교님께서 수업을 진행하심. 시험은 없고 4번의 퀴즈가 있음. 평가는 퀴즈 100 발표 90 참여 30 UniMe 50 출석 및 기타 50 이렇게 반영됨 (학생주도연습반) UniMe는 매주 두 문제씩 사이트에 답을 입력하면 되는데 부담스럽지 않음. 까먹지만 않으면 됨! 이 수업은 ㄱㅎㅅ조교님께서 진행하셨는데 매우 친절하시고 수업도 매우 좋았음. 학생들을 생각해주시는 마음이 잘 보였음. 출석은 수업 시작할 때 부르시긴 하는데 심각하게 지각하는 것만 아니면 지각은 따로 체크하지 않으시는 듯함."
미적분학연습 1,변순식,22,Spring,5.0,"조교님이 수업에서 중요한 내용이 무엇인지 요약해주시고 문제를 풀 때의 요령을 알려주심. 시험을 잘 보도록 도움을 주심. (미적분학연습은 교수님과 무관하며 조교님이 담당합니다)"
미적분학연습 1,권혜승,23,Spring,5.0,무난합니다. 퀴즈 8점 깎이고 에이쁠 가져갑니다.
미적분학연습 1,권혜승,22,Spring,5.0,연습은 다 거기서 거기입니다 시간 잘 맞는 데로 끼워 넣으면 될것같습니다.
미적분학연습 1,마대건,21,Spring,5.0,수업은 대부분 30분 내외로 끝났고 발표 2번정도 있는데 자신에게 할당된 대표문제 2개 정도를 설명하기만 하면됩니다. 퀴즈는 총 3번있었는데 테이크홈이라 좋았습니다. 매주 유니미를 해야하는데 까먹기 쉽습니다.
미적분학연습 1,마대건,21,Spring,5.0,미연을 굳이 강의평가를 써야할까요..? 그냥 이건 학점 뿌리고다니고 출석만 잘 하면 되는 거 아닌가..? 조교님 한학기동안 수고 많으셨습니다!
